t_s,alt_m,V_ms,climb_ms,nose_elev,cos_phi_theta,wx,wy,wz,blend,held_bank,freelook
34.400,500.4,253.11,-58.57,-0.4062,-0.5354,0.8932,0.0123,1.9939,1.0000,0.1554,0
34.500,493.7,253.15,-72.72,-0.4449,-0.3394,0.9432,-0.1488,1.9997,1.0000,0.1554,0
34.600,485.8,253.17,-84.80,-0.5132,-0.1243,1.0056,-0.7326,2.0000,1.0000,0.1554,0
34.700,476.7,252.99,-95.91,-0.5779,0.0995,1.0816,-0.7936,2.0000,1.0000,0.1554,0
34.800,466.6,252.52,-105.34,-0.6150,0.3189,1.1023,-0.7994,2.0000,1.0000,0.1554,0
34.900,455.7,251.73,-112.31,-0.6201,0.5190,1.1057,-0.7999,2.0000,1.0000,0.1554,0
35.000,444.2,250.66,-116.42,-0.5925,0.6878,1.1063,-0.8000,2.0000,1.0000,0.1554,0
35.100,432.4,249.35,-117.64,-0.5338,0.8155,1.1064,-0.8000,2.0000,1.0000,0.1554,0
35.200,420.7,247.81,-116.08,-0.4472,0.8943,1.1064,-0.8000,2.0000,1.0000,0.1554,0
35.300,409.3,246.10,-111.83,-0.3379,0.9251,1.1064,-0.8000,0.5058,1.0000,0.1554,0
35.400,398.6,244.22,-102.86,-0.2174,0.9550,1.1091,-0.8024,0.0052,1.0000,0.1554,0
35.500,389.0,242.14,-88.53,-0.0911,0.9725,1.1323,-0.8211,0.0031,1.0000,0.1554,0
35.600,381.2,239.84,-69.92,0.0400,0.9756,1.1372,-0.8454,0.0031,1.0000,0.1554,0
35.700,375.3,237.35,-48.44,0.1416,0.9677,0.2198,-0.1644,0.0058,1.0000,-0.2116,0
35.800,371.5,235.35,-30.07,0.1403,0.9674,0.0238,0.0752,-0.0020,1.0000,-0.2116,0
35.900,369.3,234.12,-16.86,0.1202,0.9693,-0.1951,0.3537,-0.0178,1.0000,-0.2116,0
36.000,368.1,233.46,-8.51,0.0830,0.9733,-0.4156,0.1046,-0.0221,0.7570,-0.2116,0
36.100,367.5,233.09,-4.53,0.0475,0.9761,-0.3003,-0.2069,-0.0129,0.0352,-0.2116,0
36.200,367.1,232.83,-2.95,0.0325,0.9843,-0.1501,-0.1664,-0.9317,0.0000,0.0392,0
36.300,366.9,232.64,-1.77,0.0248,0.9986,-0.0449,-0.2420,-1.3992,0.0000,0.2250,0
36.400,366.8,232.50,-0.15,0.0240,0.9956,-0.0060,-0.3150,-1.2806,0.0000,0.3299,0
36.500,366.9,232.37,1.68,0.0192,0.9777,0.0133,-0.2767,-1.0883,0.0000,0.4107,0
36.600,367.1,232.26,3.47,0.0219,0.9543,0.2135,-0.3569,-0.7767,0.0000,0.4442,0
36.700,367.6,232.14,5.79,0.0324,0.9318,0.1486,-0.4683,-0.5471,0.0013,0.4665,0
36.800,368.3,231.96,8.04,0.0277,0.9147,0.1389,-0.4237,-0.3363,0.0000,0.4740,0
36.900,369.2,231.76,9.81,0.0287,0.9021,0.0848,-0.1762,-0.2443,0.0000,0.4870,0
37.000,370.3,231.62,11.06,0.0262,0.8947,0.1851,-0.4611,-0.1207,0.0106,0.4840,0
37.100,371.4,231.44,12.28,0.0332,0.8864,0.2310,-0.3772,-0.0582,0.0009,0.4876,0
37.200,372.7,231.22,13.52,0.0282,0.8830,0.0213,-0.4300,-0.0725,0.0000,0.5021,0
37.300,374.1,230.99,13.56,-0.0005,0.8793,-0.1540,-0.5417,-0.0733,0.0200,0.5088,0
37.400,375.4,230.73,11.62,-0.0442,0.8716,-0.2882,-0.4638,-0.3135,0.2263,0.5088,0
37.500,376.3,230.45,7.74,-0.0872,0.8487,-0.2782,-0.3530,-0.3862,0.2402,0.5088,0
37.600,376.8,230.20,2.47,-0.1308,0.8416,-0.3685,-0.4169,-0.0064,0.2028,0.5531,0
37.700,376.7,229.99,-4.21,-0.1579,0.8663,-0.0614,0.1616,1.6627,0.6646,0.5531,0
37.800,375.9,229.96,-10.95,-0.1520,0.9478,-0.0177,0.1651,2.3550,1.0000,0.5531,0
37.900,374.5,230.10,-17.19,-0.1498,0.9875,-0.0172,0.1157,2.4203,1.0000,0.5531,0
38.000,372.4,230.34,-22.89,-0.1717,0.9843,-0.4145,-0.0951,-0.1012,1.0000,-0.0105,0
38.100,369.8,230.61,-29.19,-0.2073,0.9779,-0.3568,0.1594,-0.1110,0.9806,-0.0105,0
38.200,366.5,230.93,-35.97,-0.2424,0.9700,-0.3019,0.1195,-0.0528,0.0000,-0.0105,0
38.300,362.6,231.29,-42.40,-0.2436,0.9697,0.3112,0.4481,0.2510,0.0000,-0.0855,0
38.400,358.1,231.72,-45.58,-0.2015,0.9779,0.4910,0.1160,0.5465,0.0000,-0.1586,0
38.500,353.6,232.15,-45.05,-0.1513,0.9844,0.6256,-0.3344,0.0240,0.2181,-0.1150,0
38.600,349.3,232.55,-41.06,-0.0900,0.9925,0.5444,-0.2884,-0.0691,0.1762,-0.1150,0
38.700,345.5,232.88,-34.33,-0.0234,0.9993,0.6378,-0.5422,-1.3774,0.8420,-0.1150,0
38.800,342.5,233.12,-25.56,0.0172,0.9996,0.1309,-0.6276,-0.2815,0.8037,-0.1150,0
38.900,340.4,233.29,-17.70,0.0208,0.9823,0.1836,-0.8432,-2.1497,1.0000,-0.1150,0
39.000,339.0,233.34,-10.93,0.0163,0.9455,0.1094,-0.7542,-0.4289,0.7045,-0.1150,0
39.100,338.2,233.27,-5.49,0.0132,0.9012,0.2576,-0.5830,0.1587,0.3751,-0.1150,0
39.200,337.9,233.11,-1.12,0.0227,0.9435,0.3171,-0.2741,0.2055,0.0040,0.3802,0
39.300,338.0,232.94,3.04,0.0485,0.9348,0.4159,-0.1397,-0.3358,0.0062,0.4250,0
39.400,338.6,232.79,8.35,0.0983,0.9182,0.5311,0.0021,-0.2589,0.0795,0.4296,0
39.500,339.8,232.68,15.40,0.1555,0.9048,0.4358,0.1492,-0.0959,0.0000,0.4195,0
39.600,341.8,232.62,23.04,0.1876,0.9009,0.2219,0.0447,0.1579,0.0000,0.3640,0
39.700,344.4,232.59,29.66,0.1946,0.9113,-0.1441,-0.0586,0.4437,0.0000,0.2773,0
39.800,347.6,232.60,33.81,0.1748,0.9328,-0.3509,-0.0849,0.5999,0.0000,0.1997,0
39.900,351.1,232.63,34.77,0.1406,0.9575,-0.3531,-0.0264,0.7153,0.0000,0.1160,0
40.000,354.5,232.68,33.30,0.1112,0.9768,-0.3882,0.0804,0.6999,0.0000,0.0491,0
40.100,357.7,232.76,30.01,0.0812,0.9905,-0.2840,0.1367,0.7014,0.0000,-0.0209,0
40.200,360.4,232.86,25.63,0.0494,0.9979,-0.3876,0.2248,0.6694,0.0000,-0.0857,0
40.300,362.7,232.98,20.05,0.0095,1.0000,-0.3938,0.2139,0.1373,0.0000,-0.0303,0
40.400,364.4,233.11,13.62,-0.0223,0.9995,-0.2960,0.0497,0.2768,0.0000,-0.0743,0
40.500,365.4,233.27,7.01,-0.0569,0.9977,-0.4241,0.0255,0.0157,0.1600,-0.0374,0
40.600,365.7,233.45,-0.31,-0.0987,0.9944,-0.4393,-0.0424,-0.0070,0.0680,-0.0374,0
40.700,365.2,233.65,-8.35,-0.1405,0.9894,-0.4389,-0.0523,-0.0110,0.0001,-0.0378,0
40.800,363.9,233.89,-16.89,-0.1820,0.9826,-0.4383,-0.1028,-0.0144,0.0041,-0.0375,0
40.900,361.8,234.15,-25.74,-0.2205,0.9749,-0.3963,-0.0853,-0.1971,0.0000,0.0135,0
41.000,358.7,234.45,-34.59,-0.2557,0.9667,-0.3487,-0.0919,-0.3034,0.0000,0.0527,0
41.100,354.8,234.79,-43.22,-0.2883,0.9573,-0.3212,-0.1033,-0.3124,0.0000,0.0799,0
41.200,350.0,235.16,-51.31,-0.3101,0.9496,-0.1880,-0.0525,-0.2236,0.0000,0.0837,0
41.300,344.5,235.57,-58.37,-0.3250,0.9438,-0.0950,-0.1244,-0.1614,0.0000,0.0906,0
41.400,338.3,236.02,-63.77,-0.3114,0.9475,0.3859,0.0098,-0.1333,0.0000,0.0942,0
41.500,331.8,236.51,-65.13,-0.2498,0.9648,0.5711,0.0860,-0.0562,0.0124,0.0917,0
41.600,325.4,236.98,-62.40,-0.2005,0.9760,0.3960,0.0637,0.0404,0.0000,0.0723,0
41.700,319.4,237.43,-57.66,-0.1591,0.9843,0.4743,0.0526,0.1277,0.0000,0.0501,0
41.800,314.0,237.83,-51.15,-0.1071,0.9922,0.4995,-0.0229,0.1035,0.0088,0.0460,0
41.900,309.3,238.17,-43.19,-0.0649,0.9962,0.3503,-0.0525,0.0191,0.0000,0.0570,0
42.000,305.4,238.48,-34.87,-0.0296,0.9976,0.2456,-0.0571,-0.0742,0.0000,0.0768,0
42.100,302.4,238.76,-26.77,0.0025,0.9970,0.3633,-0.1973,-0.2594,0.0000,0.1327,0
42.200,300.2,238.99,-18.46,0.0377,0.9937,0.3204,-0.0624,-0.2488,0.0000,0.1487,0
42.300,298.8,239.19,-10.24,0.0662,0.9896,0.2079,-0.1048,-0.2097,0.0000,0.1661,0
42.400,298.2,239.36,-2.70,0.0856,0.9853,0.1602,-0.1179,-0.1903,0.0000,0.1830,0
42.500,298.3,239.51,4.05,0.1071,0.9802,0.3183,-0.2669,-0.2214,0.0000,0.2155,0
42.600,299.0,239.61,10.93,0.1401,0.9690,0.4098,-0.3640,-0.4326,0.0024,0.2894,0
42.700,300.5,239.63,18.71,0.1793,0.9383,0.4538,-0.3881,-0.7137,0.2421,0.2976,0
42.800,302.9,239.57,27.23,0.2203,0.9232,0.5178,-0.1458,0.0042,0.1041,0.2976,0
42.900,306.1,239.47,36.23,0.2609,0.9137,0.4314,-0.1178,0.0832,0.0005,0.3027,0
43.000,310.2,239.35,44.82,0.2786,0.8796,0.0109,0.0643,-1.7687,0.0000,0.3161,0
43.100,315.0,239.28,51.23,0.2701,0.8167,-0.2039,-0.4811,-0.2626,0.1637,0.5045,0
43.200,320.3,239.20,54.41,0.2371,0.8233,0.0044,-0.3958,0.1907,0.0000,0.5025,0
43.300,325.9,239.09,55.92,0.2356,0.8305,0.3911,-0.3096,0.2160,0.0000,0.4913,0
43.400,331.6,238.94,58.18,0.2660,0.8236,0.6677,-0.2913,-0.2254,0.6063,0.5012,0
43.500,337.6,238.74,62.29,0.2989,0.8075,0.3478,-0.1233,0.1532,0.0000,0.5031,0
43.600,344.1,238.53,66.70,0.3130,0.8131,-0.0724,0.0365,0.3808,0.0000,0.4240,0
43.700,350.9,238.36,69.36,0.3018,0.8088,-0.0541,0.0749,-1.4759,0.0000,0.3293,0
43.800,357.9,238.24,70.82,0.3042,0.7004,-0.0767,-0.0252,-1.3044,0.0000,0.6554,0
43.900,365.0,238.14,71.13,0.2799,0.7486,-0.1577,-0.2197,1.4093,0.0000,0.3529,0
44.000,372.1,238.03,70.04,0.2701,0.7733,-0.0225,0.0333,-1.3276,0.0000,0.2808,0
44.100,379.0,237.95,69.04,0.2731,0.6503,-0.0122,0.0363,-2.1298,0.0000,0.2808,0
44.200,385.9,237.87,68.28,0.2685,0.6064,0.1465,-0.2641,0.6612,0.0000,0.6876,0
44.300,392.7,237.78,67.49,0.2568,0.6232,0.7062,-0.7040,-1.0814,1.0000,0.6107,0
44.400,399.4,237.60,67.64,0.2509,0.4515,1.1151,-0.7135,-2.0517,1.0000,0.6107,0
44.500,406.2,237.24,68.21,0.2409,0.2845,1.2033,-0.3470,-1.0715,1.0000,0.6107,0
44.600,413.1,236.76,68.84,0.2601,0.1943,0.8984,0.0054,-0.4395,1.0000,0.6107,0
44.700,420.0,236.32,69.77,0.2692,0.2402,0.0960,-0.0057,0.6733,0.0000,1.0583,0
44.800,427.0,236.01,70.51,0.2712,0.3578,-0.0518,0.0142,1.8671,0.0000,0.7127,0
44.900,434.1,235.80,70.84,0.2709,0.5443,-0.3850,0.2647,2.2275,0.0000,0.3105,0
45.000,441.1,235.67,70.06,0.2682,0.7157,-0.2275,0.1665,2.2622,0.0000,-0.0041,0
45.100,448.0,235.60,68.32,0.2633,0.8473,-0.1822,0.1696,2.2675,0.0000,-0.1362,0
45.200,454.8,235.54,66.12,0.2591,0.9318,-0.0969,0.1182,2.2483,0.0000,-0.1638,0
45.300,461.3,235.50,64.01,0.2530,0.9644,-0.1022,0.2038,1.4481,0.0000,-0.1758,0
45.400,467.5,235.45,61.96,0.2404,0.9693,-0.1489,0.5940,1.1792,0.0000,-0.2768,0
45.500,473.6,235.38,59.89,0.2308,0.9597,-0.0521,0.1794,0.8440,0.0000,-0.3036,0
45.600,479.5,235.30,58.20,0.2285,0.9497,0.0584,-0.0026,0.2835,0.0000,-0.2513,0
45.700,485.3,235.25,57.27,0.2365,0.9471,0.0253,0.0171,-0.1392,0.0000,-0.1815,0
45.800,491.0,235.21,56.80,0.2399,0.9511,0.0637,0.0181,-0.2942,0.0000,-0.1357,0
45.900,496.6,235.18,56.67,0.2421,0.9560,-0.1445,-0.0183,-0.3212,0.0000,-0.1002,0
46.000,502.3,235.15,56.18,0.2358,0.9630,-0.0200,0.0092,-0.3773,0.0000,-0.0571,0
46.100,507.9,235.14,55.97,0.2481,0.9636,0.0741,0.0029,-0.2587,0.0000,-0.0522,0
46.200,513.5,235.12,56.45,0.2566,0.9635,0.1160,-0.1806,-0.2333,0.0000,-0.0261,0
46.300,519.2,235.11,57.45,0.2687,0.9623,0.0639,-0.1674,-0.3500,0.0000,0.0279,0
46.400,525.0,235.10,58.17,0.2561,0.9666,-0.1250,-0.5035,-0.6253,0.1543,0.0966,0
46.500,530.8,235.07,58.12,0.2493,0.9621,-0.0282,-0.5297,-0.2481,0.0000,0.1348,0
46.600,536.6,235.00,57.91,0.2444,0.9572,-0.0158,-0.2102,-0.4895,0.0000,0.2528,0
46.700,542.4,234.91,57.69,0.2412,0.9489,0.0492,-0.5144,-0.4502,0.0000,0.3010,0
46.800,548.1,234.80,57.44,0.2281,0.9386,-0.2905,-0.1093,-0.4046,0.0000,0.3249,0
46.900,553.8,234.69,55.89,0.2022,0.9406,-0.1623,-0.1677,0.0496,0.0000,0.2619,0
47.000,559.3,234.60,53.71,0.2001,0.9431,0.0879,-0.0767,0.1300,0.0000,0.2449,0
47.100,564.6,234.53,52.26,0.2029,0.9461,0.0029,-0.0528,0.1830,0.0000,0.2201,0
47.200,569.7,234.47,51.22,0.2070,0.9453,0.0765,-0.0770,-0.7373,1.0000,0.2426,0
47.300,574.8,234.43,50.91,0.2106,0.8857,-0.0155,0.0713,-2.1637,1.0000,0.2426,0
47.400,579.9,234.40,51.41,0.2221,0.7609,0.7603,-0.7443,-2.2902,1.0000,0.4442,0
47.500,585.2,234.24,53.91,0.2332,0.5811,0.8533,-0.5790,-1.6587,1.0000,0.4442,0
47.600,590.7,234.02,56.67,0.2426,0.4212,0.0125,0.0739,-2.1913,1.0000,0.4442,0
47.700,596.5,233.85,58.07,0.2389,0.2785,0.9654,-0.1866,-0.7720,1.0000,1.0787,0
47.800,602.4,233.63,59.62,0.2632,0.2196,0.7924,-0.0429,-0.2915,0.9915,1.0787,0
47.900,608.4,233.37,61.63,0.2727,0.2616,0.3068,-0.0483,0.4571,0.0000,1.1035,0
48.000,614.7,233.17,63.51,0.2757,0.3424,0.0961,-0.0762,1.4276,0.0000,0.8118,0
48.100,621.1,233.01,64.75,0.2585,0.5095,-0.1378,-0.1136,2.2089,0.0000,0.5018,0
48.200,627.6,232.89,64.73,0.2491,0.6858,-0.0795,-0.0261,2.3325,0.0000,0.2819,0
48.300,634.0,232.79,63.67,0.2390,0.8275,-0.2168,0.1016,2.2208,0.0000,0.1187,0
48.400,640.3,232.74,61.30,0.2214,0.9204,-0.4197,0.3196,1.9972,0.0000,-0.0500,0
48.500,646.2,232.71,57.50,0.2008,0.9454,-0.0778,0.0386,-1.2882,1.0000,-0.1144,0
48.600,651.8,232.71,54.15,0.1994,0.8768,-0.0256,0.0134,-2.2537,1.0000,-0.1144,0
48.700,657.0,232.72,51.78,0.1995,0.7531,-0.0224,0.0107,-2.3421,1.0000,-0.1144,0
48.800,662.1,232.74,50.12,0.2001,0.5868,-0.0198,0.0061,-2.3497,1.0000,-0.1144,0
48.900,667.1,232.77,48.92,0.2009,0.3883,-0.0168,0.0006,-2.3497,1.0000,-0.1144,0
49.000,671.9,232.80,48.02,0.2017,0.1685,-0.0134,-0.0044,-2.3489,1.0000,-0.1144,0
49.100,676.7,232.84,47.31,0.2024,-0.0603,-0.0098,-0.0084,-2.3479,1.0000,-0.1144,0
49.200,681.4,232.88,46.75,0.2030,-0.2858,-0.0062,-0.0107,-2.3468,1.0000,-0.1144,0
49.300,686.0,232.92,46.33,0.2036,-0.4955,-0.0027,-0.0113,-2.3456,1.0000,-0.1144,0
49.400,690.6,232.97,46.05,0.2043,-0.6779,0.0003,-0.0102,-2.3443,1.0000,-0.1144,0
49.500,695.2,233.01,45.91,0.2050,-0.8232,0.0029,-0.0076,-2.3431,1.0000,-0.1144,0
49.600,699.8,233.06,45.88,0.2058,-0.9234,0.0048,-0.0037,-2.3418,1.0000,-0.1144,0
49.700,704.4,233.10,45.95,0.2067,-0.9732,0.0060,0.0010,-2.3406,1.0000,-0.1144,0
49.800,709.0,233.14,46.06,0.2075,-0.9699,0.0064,0.0062,-2.3393,1.0000,-0.1144,0
49.900,713.6,233.19,46.17,0.2081,-0.9138,0.0060,0.0114,-2.3381,1.0000,-0.1144,0
50.000,718.2,233.22,46.33,0.2272,-0.8101,0.0740,-0.7785,-2.3369,1.0000,-2.7662,0
50.100,722.9,233.21,46.74,0.2246,-0.7207,0.8176,0.3046,0.3445,1.0000,-2.7662,0
50.200,727.4,233.20,43.36,0.1224,-0.8252,0.4006,0.3133,1.3457,1.0000,-2.7662,0
50.300,731.5,233.22,37.85,0.1110,-0.9193,0.0123,0.0469,2.2470,1.0000,-2.7662,0
50.400,735.0,233.28,33.76,0.1109,-0.9812,0.0025,0.0444,2.3275,1.0000,-2.7662,0
50.500,738.2,233.36,31.05,0.1119,-0.9911,0.0029,0.0394,2.3328,1.0000,-2.7662,0
50.600,741.2,233.47,29.41,0.1137,-0.9473,0.0028,0.0300,2.3308,1.0000,-2.7662,0
50.700,744.1,233.58,28.47,0.1159,-0.8525,0.0019,0.0189,2.3279,1.0000,-2.7662,0
50.800,746.9,233.69,27.93,0.1180,-0.7119,0.0003,0.0078,2.3246,1.0000,-2.7662,0
50.900,749.7,233.81,27.56,0.1197,-0.5334,-0.0020,-0.0020,2.3213,1.0000,-2.7662,0
51.000,752.4,233.93,27.23,0.1207,-0.3265,-0.0047,-0.0100,2.3179,1.0000,-2.7662,0
51.100,755.1,234.05,26.89,0.1211,-0.1025,-0.0078,-0.0157,2.3145,1.0000,-2.7662,0
51.200,757.8,234.17,26.53,0.1207,0.1267,-0.0110,-0.0191,2.3110,1.0000,-2.7662,0
51.300,760.4,234.29,26.19,0.1200,0.3488,-0.0141,-0.0204,2.3075,1.0000,-2.7662,0
51.400,763.0,234.42,25.88,0.1190,0.5521,-0.0170,-0.0196,2.3039,1.0000,-2.7662,0
51.500,765.6,234.54,25.63,0.1178,0.7259,-0.0196,-0.0172,2.3004,1.0000,-2.7662,0
51.600,768.2,234.67,25.46,0.1168,0.8613,-0.0216,-0.0135,2.2968,1.0000,-2.7662,0
51.700,770.7,234.80,25.34,0.1146,0.9495,-0.1306,-0.1481,1.4956,1.0000,0.3086,0
51.800,773.2,234.92,24.02,0.0637,0.9567,-0.4331,-0.8114,-0.0956,1.0000,0.3086,0
51.900,775.4,234.99,19.82,0.0048,0.9560,-0.4412,-0.0599,-0.0475,1.0000,0.3086,0
52.000,777.1,235.06,13.84,-0.0284,0.9544,-0.4312,0.6043,-0.0252,1.0000,0.3086,0
52.100,778.1,235.21,7.35,-0.0461,0.9524,-0.4323,0.6862,-0.0048,1.0000,0.3086,0
52.200,778.5,235.37,0.71,-0.0698,0.9502,-0.4242,0.4801,0.0095,1.0000,0.3086,0
52.300,778.2,235.51,-6.15,-0.0977,0.9472,-0.4304,0.2962,0.0183,1.0000,0.3086,0
52.400,777.2,235.63,-13.17,-0.1218,0.9436,-0.4049,0.5194,0.0287,1.0000,0.3086,0
52.500,775.5,235.73,-20.11,-0.1499,0.9392,-0.4340,0.2224,0.0382,1.0000,0.3086,0
52.600,773.1,235.84,-27.27,-0.1839,0.9334,-0.4278,0.1768,0.0346,1.0000,0.3086,0
52.700,770.0,236.00,-34.02,-0.1948,0.9384,-0.0356,0.0027,0.4813,0.0000,0.1872,0
52.800,766.3,236.24,-38.88,-0.1955,0.9537,-0.0174,-0.0035,0.6441,0.0000,0.1089,0
52.900,762.2,236.54,-42.13,-0.1957,0.9660,-0.0161,-0.0032,0.5788,0.0000,0.0645,0
53.000,757.9,236.88,-44.28,-0.1958,0.9734,-0.0157,-0.0025,0.4524,0.0000,0.0391,0
53.100,753.4,237.23,-45.70,-0.1959,0.9772,-0.0154,-0.0018,0.3293,0.0000,0.0243,0
53.200,748.7,237.61,-46.65,-0.1960,0.9791,-0.0151,-0.0012,0.2298,0.0000,0.0157,0
53.300,744.0,238.00,-47.16,-0.1880,0.9815,0.1175,0.0391,0.1846,0.0000,0.0013,0
53.400,739.3,238.40,-46.81,-0.1796,0.9836,0.0378,0.0087,0.1990,0.0000,-0.0188,0
53.500,734.7,238.79,-46.16,-0.1756,0.9845,0.0178,0.0146,0.1573,0.0000,-0.0272,0
53.600,730.1,239.18,-45.48,-0.1730,0.9848,0.0076,0.0134,0.0956,0.0000,-0.0272,0
53.700,725.6,239.57,-44.85,-0.1712,0.9851,0.0006,0.0099,0.0386,0.0000,-0.0228,0
53.800,721.1,239.97,-44.29,-0.1679,0.9856,0.0980,-0.0058,-0.0019,0.0000,-0.0170,0
53.900,716.7,240.35,-43.23,-0.1515,0.9883,0.1167,-0.0271,-0.0164,0.0000,-0.0138,0
54.000,712.5,240.73,-41.60,-0.1433,0.9895,0.0453,-0.0049,-0.0251,0.0000,-0.0107,0
54.100,708.4,241.10,-40.01,-0.1385,0.9902,0.0245,0.0036,-0.0143,0.0000,-0.0109,0
54.200,704.5,241.47,-38.62,-0.1353,0.9907,0.0118,0.0047,-0.0122,0.0000,-0.0098,0
54.300,700.7,241.83,-37.44,-0.1331,0.9910,0.0034,0.0038,-0.0160,0.0000,-0.0076,0
54.400,697.0,242.19,-36.48,-0.1316,0.9912,-0.0023,0.0026,-0.0200,0.0000,-0.0050,0
54.500,693.4,242.54,-35.71,-0.1306,0.9914,-0.0063,0.0017,-0.0216,0.0000,-0.0027,0
54.600,689.9,242.89,-35.11,-0.1298,0.9915,-0.0090,0.0010,-0.0207,0.0000,-0.0008,0
54.700,686.4,243.23,-34.64,-0.1293,0.9916,-0.0108,0.0006,-0.0181,0.0000,0.0006,0
54.800,682.9,243.58,-34.28,-0.1289,0.9916,-0.0121,0.0004,-0.0149,0.0000,0.0015,0
54.900,679.5,243.92,-34.02,-0.1287,0.9917,-0.0131,0.0002,-0.0117,0.0000,0.0022,0
55.000,676.1,244.25,-33.82,-0.1285,0.9917,-0.0137,0.0001,-0.0088,0.0000,0.0026,0
55.100,672.8,244.59,-33.68,-0.1283,0.9917,-0.0142,0.0001,-0.0064,0.0000,0.0029,0
55.200,669.4,244.93,-33.57,-0.1282,0.9917,-0.0145,0.0000,-0.0046,0.0000,0.0031,0
55.300,666.0,245.26,-33.51,-0.1281,0.9918,-0.0147,-0.0000,-0.0032,0.0000,0.0032,0
55.400,662.7,245.59,-33.46,-0.1280,0.9918,-0.0149,-0.0000,-0.0022,0.0000,0.0033,0
55.500,659.3,245.92,-33.43,-0.1280,0.9918,-0.0151,-0.0000,-0.0015,0.0000,0.0033,0
55.600,656.0,246.25,-33.42,-0.1279,0.9918,-0.0152,-0.0000,-0.0010,0.0000,0.0033,0
55.700,652.7,246.58,-33.42,-0.1279,0.9918,-0.0152,-0.0000,-0.0006,0.0000,0.0033,0
